,job_title,company_name,location,description,workplace_type,word_count,Tools,Skills,Years_of_Experience,years,experience,Education_Level
15,Data Analyst,  Shaldag Limited  ,  Lagos ,"About the job
This job is sourced from a job board. Learn more
Never Miss a Job Update Again.
Company:
Location: Nigeria
State:
Job type: Full-Time
Job category:
Job Description

Shaldag Limited commenced as a greenfield aquaculture company in 2014 to produce high quality fish products for consumption in Nigeria. Shaldag produces African Catfish (Clarias gariepinus) from its 2,500MT per annum capacity farm in Epe, Lagos and recently forward integrated into the production of smoke-dried and packaged fish products. These products now retail in over 200 supermarkets and hyper-stores across the Country.

We Are Recruiting To Fill The Position Below

Job Title: Data Analyst

Location: Epe, Lagos

Employment Type: Full-time

Job Summary
Create and enforce policies for effective data management and collection.
Formulate techniques for quality data collection to ensure adequacy, accuracy and legitimacy of data.
Review data for inconsistencies or anomalies that could skew analytical results.
Communicate with Team Leads and Managers on data requirements as applicable.
Manage all aspects of the Aquanetix aquaculture management software. Supervising and editing information. Verifying it performs as a high-quality management tool.
Maintain inventories of important materials. Produce, edit and hand over to G.M. stock lists (in stock, supplied, and used): Feeds (size, quantity, number, expiry dates), chemicals, diesel, test kits, medicines, hormones and others that might be added from time to time.
Device and implement efficient and secure procedures for data management and analysis under the supervision of the General Manager.
Maintain Shaldag’s databases. Conduct routine checks as needed to ensure data integrity.
Requirements
Candidates should possess a Bachelor’s Degree with at least 2 years relevant work experience.
Salary

N100,000 – N120,000 Monthly.

Application Closing Date

12th December, 2022.

Don't Keep! Kindly Share:",On-site,281,"['Scikit-Learn', 'R', ' C/C++', 'sciket-learn']","['quality control', 'Project management', 'Data visualization', 'Time series analysis', 'Exploratory data analysis', 'Data engineering', 'Software engineering', 'Continuous integration and deployment (CI/CD)', 'analysis', 'Regression analysis', 'A/B testing', 'Data interpretation', 'database management']",2 years,2,1 to 3 years,bachelor
16,Data Engineer,  Applaudo  ,  Abuja ,"About the job
Job Description

About You

We are looking for a Big Data Engineer to work with large data volumes read from scattered information sources in an organization's technology infrastructure.

You bring to Applaudo the following competencies:

2+ years of experience with Scala Spark
3+ years of data delivery, ETL (extract, transform and load) and data warehouse design, analysis, and programming experience.
Experiencie with Google Cloud Plattform.
Experience with an excellent grasp of relational and dimensional data modeling
Strong mathematical, statistical, and analytics skills
1+ year of Agile experience
English is required, as you will work directly with US-based clients.

You will be accountable for the following responsibilities:

Extracting data from different data sources and transferring it into a data warehouse environment.
Designing, maintaining, and implementing transactional and analytical data storage structures.
Design, build and maintain data pipelines, consuming for multiple sources, and servicing multiple tenants
Experience in one or more of the following DBMS: PostgreSQL, MySQL, Google Cloud Datastore, Cosmos
Experience in one or more of the following programming languages: Scala, PL/SQL, Java
Experience in one or more of the following cloud environment tools: GCP
Elaborate informative, expressive, and meaningful reports that support business decision-making processes through the information provided.
Reporting and subsequently translating the emanating results into good technical and consistent data designs.

Qualifications

Technical Skills:

2+ years of experience with Scala Spark

Experience with cloud environment tools

Additional Information

Here at Applaudo Studios values as trust, communication, respect, excellence and team work are our keys to success. We know we are working with the best and thus treat each other with respect and admiration without asking.

Submit your application today, and don't miss this opportunity to join the Best Digital team in the Region!

We truly appreciate all the hard and outstanding work our team makes every day at Applaudo Studios, and that's why the perks that we offer, are deeply thought and designed as a way to thank them for their commitment and excellence.

Some of our perks and benefits:

Work from home
Flexible schedule
Celebrations
Special discounts
Entertainment area
Flexible work spaces
Great work environment
Private medical insurance
Benefits may vary according to your location and/or availability. Request further information when applying.",Remote,368,"['Scala Spark', ' C/C++', 'Scala', 'Apache Spark', 'Spark', 'PostgreSQL', ' PL/SQL', 'Excel', 'R', 'MySQL', 'Agile', 'Google Cloud', 'Java', 'SQL']","['Data visualization', 'Cloud computing', 'Data interpretation', 'communication', 'Agile development', 'Decision trees', 'Time series analysis', 'Python programming', 'A/B testing', 'Business intelligence', 'Data engineering', 'Exploratory data analysis', 'ETL', 'analysis', 'Regression analysis', 'Support vector machines', 'storage', 'Continuous integration and deployment (CI/CD)', 'modeling', 'decision trees']",Not Specified,0,Not Specified,Not Specified
19,Data Engineer,  Applaudo  ,  Abuja ,"About the job
Job Description

About You

We are looking for a Big Data Engineer to work with large data volumes read from scattered information sources in an organization's technology infrastructure.

You bring to Applaudo the following competencies:

2+ years of experience with Scala Spark
3+ years of data delivery, ETL (extract, transform and load) and data warehouse design, analysis, and programming experience.
Experiencie with Google Cloud Plattform.
Experience with an excellent grasp of relational and dimensional data modeling
Strong mathematical, statistical, and analytics skills
1+ year of Agile experience
English is required, as you will work directly with US-based clients.

You will be accountable for the following responsibilities:

Extracting data from different data sources and transferring it into a data warehouse environment.
Designing, maintaining, and implementing transactional and analytical data storage structures.
Design, build and maintain data pipelines, consuming for multiple sources, and servicing multiple tenants
Experience in one or more of the following DBMS: PostgreSQL, MySQL, Google Cloud Datastore, Cosmos
Experience in one or more of the following programming languages: Scala, PL/SQL, Java
Experience in one or more of the following cloud environment tools: GCP
Elaborate informative, expressive, and meaningful reports that support business decision-making processes through the information provided.
Reporting and subsequently translating the emanating results into good technical and consistent data designs.

Qualifications

Technical Skills:

2+ years of experience with Scala Spark

Experience with cloud environment tools

Additional Information

Here at Applaudo Studios values as trust, communication, respect, excellence and team work are our keys to success. We know we are working with the best and thus treat each other with respect and admiration without asking.

Submit your application today, and don't miss this opportunity to join the Best Digital team in the Region!

We truly appreciate all the hard and outstanding work our team makes every day at Applaudo Studios, and that's why the perks that we offer, are deeply thought and designed as a way to thank them for their commitment and excellence.

Some of our perks and benefits:

Work from home
Flexible schedule
Celebrations
Special discounts
Entertainment area
Flexible work spaces
Great work environment
Private medical insurance
Benefits may vary according to your location and/or availability. Request further information when applying.",Remote,368,"['Scala Spark', ' C/C++', 'Scala', 'Apache Spark', 'Spark', 'PostgreSQL', ' PL/SQL', 'Excel', 'R', 'MySQL', 'Agile', 'Google Cloud', 'Java', 'SQL']","['Data visualization', 'Cloud computing', 'Data interpretation', 'communication', 'Agile development', 'Decision trees', 'Time series analysis', 'Python programming', 'A/B testing', 'Business intelligence', 'Data engineering', 'Exploratory data analysis', 'ETL', 'analysis', 'Regression analysis', 'Support vector machines', 'storage', 'Continuous integration and deployment (CI/CD)', 'modeling', 'decision trees']",Not Specified,0,Not Specified,Not Specified
20,Data Engineer,  Applaudo  ,  Niger State ,"About the job
Job Description

About You

We are looking for a Big Data Engineer to work with large data volumes read from scattered information sources in an organization's technology infrastructure.

You bring to Applaudo the following competencies:

2+ years of experience with Scala Spark
3+ years of data delivery, ETL (extract, transform and load) and data warehouse design, analysis, and programming experience.
Experiencie with Google Cloud Plattform.
Experience with an excellent grasp of relational and dimensional data modeling
Strong mathematical, statistical, and analytics skills
1+ year of Agile experience
English is required, as you will work directly with US-based clients.

You will be accountable for the following responsibilities:

Extracting data from different data sources and transferring it into a data warehouse environment.
Designing, maintaining, and implementing transactional and analytical data storage structures.
Design, build and maintain data pipelines, consuming for multiple sources, and servicing multiple tenants
Experience in one or more of the following DBMS: PostgreSQL, MySQL, Google Cloud Datastore, Cosmos
Experience in one or more of the following programming languages: Scala, PL/SQL, Java
Experience in one or more of the following cloud environment tools: GCP
Elaborate informative, expressive, and meaningful reports that support business decision-making processes through the information provided.
Reporting and subsequently translating the emanating results into good technical and consistent data designs.

Qualifications

Technical Skills:

2+ years of experience with Scala Spark

Experience with cloud environment tools

Additional Information

Here at Applaudo Studios values as trust, communication, respect, excellence and team work are our keys to success. We know we are working with the best and thus treat each other with respect and admiration without asking.

Submit your application today, and don't miss this opportunity to join the Best Digital team in the Region!

We truly appreciate all the hard and outstanding work our team makes every day at Applaudo Studios, and that's why the perks that we offer, are deeply thought and designed as a way to thank them for their commitment and excellence.

Some of our perks and benefits:

Work from home
Flexible schedule
Celebrations
Special discounts
Entertainment area
Flexible work spaces
Great work environment
Private medical insurance
Benefits may vary according to your location and/or availability. Request further information when applying.",Remote,368,"['Scala Spark', ' C/C++', 'Scala', 'Apache Spark', 'Spark', 'PostgreSQL', ' PL/SQL', 'Excel', 'R', 'MySQL', 'Agile', 'Google Cloud', 'Java', 'SQL']","['Data visualization', 'Cloud computing', 'Data interpretation', 'communication', 'Agile development', 'Decision trees', 'Time series analysis', 'Python programming', 'A/B testing', 'Business intelligence', 'Data engineering', 'Exploratory data analysis', 'ETL', 'analysis', 'Regression analysis', 'Support vector machines', 'storage', 'Continuous integration and deployment (CI/CD)', 'modeling', 'decision trees']",Not Specified,0,Not Specified,Not Specified
21,Data Analyst,  Turing  ,  Lagos ,"About the job
A multinational, U.S.-based big wig that has been operating in the pharmaceutical industry for over a century is looking to hire a Tableau Developer. The candidate is expected to improve business processes by creating cutting-edge computer systems and data visualization solutions. The NYSE-listed company has been spearheading medical innovation, manufacturing and distributing best- in- class pharma products, and helping people track their health via innovative digital tools. The ideal candidate should be exclusively based out of the Latin-American region.

Job Responsibilities:

Design, develop, and maintain complex Tableau reports to ensure scalability, manageability, and extensibility
Conduct unit testing to improve performance and re-useability
Lend your technical expertise in the field of design, architecture, and implementation
Collaborate with software architects to determine the best implementation of their design 
Develop useful reports and dashboards to extract insightful data
Work with other stakeholders to improve/automate engineering processes
Analyze user feedback and review to drive results that meet/exceed user expectations
Adhere to software coding guidelines and styles to ensure consistency
Resolve Tableau report support tickets

Job Requirements:

Bachelor’s/Master’s degree in Engineering, Computer Science (or equivalent experience)
At least 3+ years of relevant experience as a Tableau Developer
Demonstrable expertise in developing and handling Tableau-driven dashboards and analytics
Ability to maximize workbook performance while querying and displaying large data sets 
Experience with interpreting technical and dashboard structures to create technical specifications from complex business requirements 
Familiarity with Tableau administrator/architecture
Expert-level skill in Tableau development
Highly competent in Excel (macros, pivot tables, etc.).
Understanding of advanced calculations and statistical functions
Thorough understanding of SQL and relational database management systems
Strong knowledge of data modeling and normalization
Prior experience working with QA, testing, and coding
Excellent English communication skills
Accuracy and attention to detail 
Experience collaborating with cross-functional teams 
Multitasking ability",Remote,296,"[' C/C++', ' PL/SQL', 'Excel', 'R', 'Tableau', 'SQL']","['Project management', 'Data visualization', 'Exploratory data analysis', 'Data engineering', 'feature engineering', 'Computer vision', 'Software engineering', 'Continuous integration and deployment (CI/CD)', 'modeling', 'A/B testing', 'Business intelligence', 'Data interpretation', 'communication', 'visualization', 'Support vector machines', 'database management', 'Agile development', 'product development']",Not Specified,0,Not Specified,bachelor
23,Data Analyst,  HRbreakoutroom  ,  Lagos ,"About the job
Never Miss a Job Update Again. 
Company: 
Location: Nigeria
State: 
Job type: Full-Time 
Job category: 
 Job Description

HRbreakoutRoom is aplatform for all HR conversations with Industry Leaders around the globe. Relevant impact on Career Mentoring, Resourcing, Learning and Advisory. We help our clients win in the marketplace by providing state-of-the-art HR services.

Job Title: Data Analyst

Location: Surulere, Lagos

Job type: Full-time

Reports to: Business Operations Manager

Division / Department: Data Analytics and Insights DIRECT

Job Purpose
Gather, process, interpret and present data (received from the various data sources) into business insights for internal use and by key clients
Collate data from the various data sources such as databases, surveys, and social media platforms.
Organizing and storing data in a way that is easily accessible and usable.
Cleaning and pre-processing data to ensure accuracy and completeness.
Analysing data using statistical techniques and software tools, such as Microsoft Excel, SQL, and R.
Visualizing data using charts, graphs, and other graphical representations.
Communicating findings and recommendations to stakeholders through reports, presentations, actionable insights, and other appropriate means.
Collaborating with other cross-functional teams, such as marketing and product development, to support data driven decision making.
Act as a liaison between the company and the evaluator during the process of data collection / gathering.
Assist with the coordination of audit activities (including surveys/opinion polls) and preparation of audit reports.
Any other administrative duties and projects assigned by your line manager.
Key Performance Indicators (KPIs)
Provide all monthly reports at least three days before final submission to the client.
Maximum of 2% error on all data reports, by ensuring that all data is properly validated at the collation stage.
Participate in the training of evaluators to ensure that the right information is captured at the initial phase of every project.
Maximum of one rework on any project due to gap in project requirements.
At least 95% satisfaction feedback from team members (this includes project manager).
Application Closing Date

20th January, 2023.

Don't Keep! Kindly Share:",On-site,333,"[' C/C++', ' PL/SQL', 'Excel', 'R', ' Q-Learning', 'SQL']","['Data visualization', 'Unsupervised learning', 'Software engineering', 'Data interpretation', 'Natural language processing', 'Reinforcement learning', 'Agile development', 'product development', 'Deep learning', 'Decision trees', 'Time series analysis', 'Project management', 'A/B testing', 'Business intelligence', 'Supervised learning', 'Data engineering', 'Exploratory data analysis', 'Support vector machines', 'Ensemble learning', 'Continuous integration and deployment (CI/CD)', 'decision trees', 'Transfer learning', 'Machine learning']",Not Specified,0,Not Specified,Not Specified
25,Data Engineer,  Applaudo  ,  Lagos ,"About the job
Job Description

About You

We are looking for a Big Data Engineer to work with large data volumes read from scattered information sources in an organization's technology infrastructure.

You bring to Applaudo the following competencies:

2+ years of experience with Scala Spark
3+ years of data delivery, ETL (extract, transform and load) and data warehouse design, analysis, and programming experience.
Experiencie with Google Cloud Plattform.
Experience with an excellent grasp of relational and dimensional data modeling
Strong mathematical, statistical, and analytics skills
1+ year of Agile experience
English is required, as you will work directly with US-based clients.

You will be accountable for the following responsibilities:

Extracting data from different data sources and transferring it into a data warehouse environment.
Designing, maintaining, and implementing transactional and analytical data storage structures.
Design, build and maintain data pipelines, consuming for multiple sources, and servicing multiple tenants
Experience in one or more of the following DBMS: PostgreSQL, MySQL, Google Cloud Datastore, Cosmos
Experience in one or more of the following programming languages: Scala, PL/SQL, Java
Experience in one or more of the following cloud environment tools: GCP
Elaborate informative, expressive, and meaningful reports that support business decision-making processes through the information provided.
Reporting and subsequently translating the emanating results into good technical and consistent data designs.

Qualifications

Technical Skills:

2+ years of experience with Scala Spark

Experience with cloud environment tools

Additional Information

Here at Applaudo Studios values as trust, communication, respect, excellence and team work are our keys to success. We know we are working with the best and thus treat each other with respect and admiration without asking.

Submit your application today, and don't miss this opportunity to join the Best Digital team in the Region!

We truly appreciate all the hard and outstanding work our team makes every day at Applaudo Studios, and that's why the perks that we offer, are deeply thought and designed as a way to thank them for their commitment and excellence.

Some of our perks and benefits:

Work from home
Flexible schedule
Celebrations
Special discounts
Entertainment area
Flexible work spaces
Great work environment
Private medical insurance
Benefits may vary according to your location and/or availability. Request further information when applying.",Remote,368,"['Scala Spark', ' C/C++', 'Scala', 'Apache Spark', 'Spark', 'PostgreSQL', ' PL/SQL', 'Excel', 'R', 'MySQL', 'Agile', 'Google Cloud', 'Java', 'SQL']","['Data visualization', 'Cloud computing', 'Data interpretation', 'communication', 'Agile development', 'Decision trees', 'Time series analysis', 'Python programming', 'A/B testing', 'Business intelligence', 'Data engineering', 'Exploratory data analysis', 'ETL', 'analysis', 'Regression analysis', 'Support vector machines', 'storage', 'Continuous integration and deployment (CI/CD)', 'modeling', 'decision trees']",Not Specified,0,Not Specified,Not Specified
26,Data Engineer,  Turing  ,  Lagos ,"About the job
A rapidly-growing company that is providing intelligence as a service by enabling users to unlock the potential in their data, is looking for a Data Engineer. The engineer will be expected to actively participate within the teams to design, develop, test, and deploy software. The company's mission is to democratize the data economy and return control to the people who generate the data. This will be a long-term, full-time position.

Job Responsibilities:

Develop, design, and maintain scalable data pipelines using GCP technologies to extract, convert, and load data into BigQuery from diverse sources
Tune and optimize the pipelines for efficiency and dependability
Assure data quality and put mechanisms in place for data validation and monitoring
Create and maintain pipeline and process documentation

Job Requirements:

Bachelor’s/Master’s degree in Engineering, Computer Science (or equivalent experience)
At least 3+ years of relevant experience as a data engineer
Demonstrable experience working with Python, SQL, BigQuery, and Cloud Storage
Familiarity with Airflow, Dataproc, and Cloud Pub/Sub is desirable
Nice to have some knowledge of Cloud Dataflow and Cloud Composer
Exceptional leadership and collaboration skills
Fluent in spoken and written English",Remote,188,"['Airflow', 'Dataproc', ' C/C++', 'BigQuery', 'Python', ' PL/SQL', 'R', 'Google Cloud', 'SQL']","['quality control', 'Data visualization', 'Time series analysis', 'Exploratory data analysis', 'feature engineering', 'storage', 'Python programming', 'Computer vision', 'Software engineering', 'Continuous integration and deployment (CI/CD)', 'Collaboration', 'Cloud computing', 'A/B testing', 'Business intelligence', 'Data interpretation', 'Version control', 'Data engineering']",Not Specified,0,Not Specified,bachelor
27,Data Analyst,  Flutterwave  ,  Lagos ,"About the job
Never Miss a Job Update Again. 
Company: 
Location: Nigeria
State: 
Job type: Full-Time 
Job category: 
 Job Description

Flutterwave was founded on the principle that every African must be able to participate and thrive in the global economy. To achieve this objective, we have built a trusted payment infrastructure that allows consumers and businesses (African and International) make and receive payments in a convenient border-less manner.

Job Title: Data Analyst

Location: Lekki, Lagos

Employment type: Full-time

Department: Data Team

The Role
We are seeking a highly skilled and motivated Data Analyst with a minimum of 3 years of experience to join our team.
You are an individual who is passionate about data, driven to make a difference, and eager to solve complex problems?
In this role, you will have the opportunity to analyze data, provide insights, and drive decision-making. You will be a key member of the team and will play a vital role in shaping the future of our company.
Develop and deliver analytics reporting and Business Intelligence dashboards as required by business areas.
Interpreting data and analysis into impactful, action-orientated reports for internal stakeholders.
Promote a data-driven organization and empower teams with actionable data and automated and intuitive KPI dashboards.
Develop strong cross-functional partnerships across the company (Engineering, Product, Finance, Marketing, Operations, etc.)
Support the team and/or other analysts in the design, construction, and implementation of appropriate analytical processes which support business objectives.
Interface with business teams to understand their data requirements and provide them with actionable insights and reports.
Communicate key findings and insights to both technical and non-technical stakeholders using storytelling techniques
Perform ETLs as may be required
Bachelor’s Degree in Computer Science or other related fields of core Sciences or equivalent experience.
Minimum of 3 years experience working as a data analyst.
Experience with Power BI, Tableau, or similar tools for data visualization.
Familiarity with SQL and working with relational databases. Python would be a plus.
Exceptional communication/interpersonal skills to articulate ideas, frame problems, and offer solutions. Strong leadership track record with the ability to work effectively with leadership teams.
Experience with A/B or multivariate testing.
A balanced strategic and tactical thinker with strong presentation, problem-solving, and analytical skills.
Able to manage multiple cross-functional projects across different departments.
Strong attention to detail, results-driven with high accuracy of output
Authorization to work in the country without sponsorship.
Application Closing Date

Not Specified.

Don't Keep! Kindly Share:",On-site,402,"['Power Query', 'Power BI', ' C/C++', 'Python', ' PL/SQL', 'R', 'Tableau', 'SQL', 'KPI']","['Data visualization', 'Software engineering', 'Data interpretation', 'communication', 'product development', 'Decision trees', 'Time series analysis', 'Python programming', 'A/B testing', 'Business intelligence', 'Data engineering', 'Exploratory data analysis', 'feature engineering', 'Computer vision', 'analysis', 'Regression analysis', 'visualization', 'Support vector machines', 'Continuous integration and deployment (CI/CD)', 'decision trees', 'storytelling']",3 years,3,1 to 3 years,bachelor
28,Data Scientist,  Reliance Health  ,  Lagos ,"About the job
The Data Scientist is responsible for building AI/ML models for automating processes, reducing costs and increasing revenues of a modern health-tech organization

Responsibilities:
Builds AI/ML models to automate different enterprise processes such as claim and provider management, customer acquisition, engagement retention, customer support, and finance and human resource functions
Build intelligent mobile app functions to improve members’ health
Provide key actionable insights to management
Use data to estimate provider quality of care

Requirements
Minimum 3 years experience as a data scientist, with a particular focus on machine learning and NLP.
Tertiary education from a recognized institution, in a quantitative field
Experience with Python and AI/ML libraries
Experience in modeling consumer behavior is a plus
Experience with medical data is a plus
Ability to work independently in a fast-paced environment
Excellent oral and written communication skills",Remote,138,"[' C/C++', 'H2O.ai', 'Python', 'Excel', 'R', 'NLP', ' Q-Learning']","['Data visualization', 'Unsupervised learning', 'Data interpretation', 'communication', 'Reinforcement learning', 'database management', 'Deep learning', 'Project management', 'Python programming', 'A/B testing', 'NLP', 'Supervised learning', 'Data engineering', 'Exploratory data analysis', 'Support vector machines', 'quality control', 'Ensemble learning', 'Continuous integration and deployment (CI/CD)', 'modeling', 'Transfer learning', 'Machine learning']",3 years,3,1 to 3 years,Not Specified
29,Machine learning engineer,  Turing  ,  Lagos ,"About the job
En Turing, ayudamos a los programadores a construir la carrera de sus sueños poniéndolos en contacto con empleos de tecnología muy bien pagos en EE.UU., con un salario en dólares. Más de 400 empresas, incluídas Johnson & Johnson, Dell, Disney, Volvo, etc., han contratado a desarrolladores de Turing.

An emerging edtech startup building an initial team of talented individuals is looking for a Machine Learning Engineer. The engineer will be actively contributing to developing a computer adaptive testing solution that also employs machine learning for the education space. The company has recently raised a pre-seed fund and aims to implement an Adaptive Learning System. This would be an exciting opportunity for those who want to work in a fast-paced and customer-first environment. It requires an overlap with PST.

Job Responsibilities:

Assist in building back-end infrastructure, data pipelines, and ML models for AI-backed products
Experiment with ML techniques to create and test new program features
Assist in extending and improving existing ML frameworks and libraries
Work alongside data engineers to create data and model pipelines, and embed AI and analytics into the business decision processes
Integrate ML models to end-users and run experiments
Run tests, perform statistical analysis, interpret test results, and perform tuning and scaling

Job Requirements:

Bachelor’s/Master’s degree in Engineering, Computer Science (or equivalent experience)
At least 3+ years of relevant experience as a Machine Learning Engineer
Must have hands-on experience in Adaptive Learning Systems 
Should be well versed in MEAN and/or MERN stacks
Expertise in Machine Learning and Artificial Intelligence 
Experience in data science projects and psychometrics is required
Must have excellent communication skills with proficiency in English",Remote,273,"['H2O.ai', ' C/C++', 'Excel', 'R', ' Q-Learning']","['Data visualization', 'Unsupervised learning', 'Software engineering', 'Data interpretation', 'communication', 'Reinforcement learning', 'Deep learning', 'Decision trees', 'Time series analysis', 'A/B testing', 'Business intelligence', 'Supervised learning', 'Data engineering', 'Exploratory data analysis', 'feature engineering', 'Computer vision', 'analysis', 'Regression analysis', 'Hyperparameter tuning', 'Ensemble learning', 'Continuous integration and deployment (CI/CD)', 'decision trees', 'Transfer learning', 'Machine learning']",Not Specified,0,Not Specified,bachelor
30,Data Analyst,  Turing  ,  Lagos ,"About the job
A Silicon Valley-based company that is developing software for social media networks to help screen for harmful content, hate speech, and disinformation, is looking for a Tableau Developer. The developer will be communicating with the clients’ technical leadership to understand project requirements and execute them. Using scalable ML-powered solutions, the company is committed to making the internet a safer place for everyone. This will be a full-time position requiring significant overlap with the PT time zone.

Job Responsibilities:

Collaborate closely with designer, product, and data science support teams
Work with standard visualizations, frameworks, and customizations for specific clients
Assist with the quick implementation of stunning and useful Tableau dashboards for high-profile business clients using vast volumes of high-dimensional data
Drive projects from start to finish with a measurable impact on the business

Job Requirements:

Bachelor’s/Master’s degree in Engineering, Computer Science (or equivalent experience)
At least 3+ years of relevant experience as a software developer
Extensive experience working with Tableau
Expert-level experience with database query
Ability to support data ingestion into dashboards
Familiarity with SQL, AWS S3, etc.
Prior experience embedding Tableau visualizations into web portals is desirable
Nice to have some experience managing tableau server instances or adding features to a self-managed instance
Excellent English communication skills",Remote,210,"['Power Query', ' C/C++', ' PL/SQL', 'Excel', 'R', 'AWS', 'Tableau', 'AWS S3', 'SQL']","['Project management', 'Data visualization', 'Time series analysis', 'Exploratory data analysis', 'Data engineering', 'feature engineering', 'Computer vision', 'Neural networks', 'Software engineering', 'Continuous integration and deployment (CI/CD)', 'A/B testing', 'Business intelligence', 'Data interpretation', 'communication', 'visualization', 'Support vector machines', 'database management', 'product development']",Not Specified,0,Not Specified,bachelor
31,Data Engineer,  Applaudo  ,  Oyo State ,"About the job
Job Description

About You

We are looking for a Big Data Engineer to work with large data volumes read from scattered information sources in an organization's technology infrastructure.

You bring to Applaudo the following competencies:

2+ years of experience with Scala Spark
3+ years of data delivery, ETL (extract, transform and load) and data warehouse design, analysis, and programming experience.
Experiencie with Google Cloud Plattform.
Experience with an excellent grasp of relational and dimensional data modeling
Strong mathematical, statistical, and analytics skills
1+ year of Agile experience
English is required, as you will work directly with US-based clients.

You will be accountable for the following responsibilities:

Extracting data from different data sources and transferring it into a data warehouse environment.
Designing, maintaining, and implementing transactional and analytical data storage structures.
Design, build and maintain data pipelines, consuming for multiple sources, and servicing multiple tenants
Experience in one or more of the following DBMS: PostgreSQL, MySQL, Google Cloud Datastore, Cosmos
Experience in one or more of the following programming languages: Scala, PL/SQL, Java
Experience in one or more of the following cloud environment tools: GCP
Elaborate informative, expressive, and meaningful reports that support business decision-making processes through the information provided.
Reporting and subsequently translating the emanating results into good technical and consistent data designs.

Qualifications

Technical Skills:

2+ years of experience with Scala Spark

Experience with cloud environment tools

Additional Information

Here at Applaudo Studios values as trust, communication, respect, excellence and team work are our keys to success. We know we are working with the best and thus treat each other with respect and admiration without asking.

Submit your application today, and don't miss this opportunity to join the Best Digital team in the Region!

We truly appreciate all the hard and outstanding work our team makes every day at Applaudo Studios, and that's why the perks that we offer, are deeply thought and designed as a way to thank them for their commitment and excellence.

Some of our perks and benefits:

Work from home
Flexible schedule
Celebrations
Special discounts
Entertainment area
Flexible work spaces
Great work environment
Private medical insurance
Benefits may vary according to your location and/or availability. Request further information when applying.",Remote,368,"['Scala Spark', ' C/C++', 'Scala', 'Apache Spark', 'Spark', 'PostgreSQL', ' PL/SQL', 'Excel', 'R', 'MySQL', 'Agile', 'Google Cloud', 'Java', 'SQL']","['Data visualization', 'Cloud computing', 'Data interpretation', 'communication', 'Agile development', 'Decision trees', 'Time series analysis', 'Python programming', 'A/B testing', 'Business intelligence', 'Data engineering', 'Exploratory data analysis', 'ETL', 'analysis', 'Regression analysis', 'Support vector machines', 'storage', 'Continuous integration and deployment (CI/CD)', 'modeling', 'decision trees']",Not Specified,0,Not Specified,Not Specified
32,Data Engineer,  Applaudo  ,  Edo State ,"About the job
Job Description

About You

We are looking for a Big Data Engineer to work with large data volumes read from scattered information sources in an organization's technology infrastructure.

You bring to Applaudo the following competencies:

2+ years of experience with Scala Spark
3+ years of data delivery, ETL (extract, transform and load) and data warehouse design, analysis, and programming experience.
Experiencie with Google Cloud Plattform.
Experience with an excellent grasp of relational and dimensional data modeling
Strong mathematical, statistical, and analytics skills
1+ year of Agile experience
English is required, as you will work directly with US-based clients.

You will be accountable for the following responsibilities:

Extracting data from different data sources and transferring it into a data warehouse environment.
Designing, maintaining, and implementing transactional and analytical data storage structures.
Design, build and maintain data pipelines, consuming for multiple sources, and servicing multiple tenants
Experience in one or more of the following DBMS: PostgreSQL, MySQL, Google Cloud Datastore, Cosmos
Experience in one or more of the following programming languages: Scala, PL/SQL, Java
Experience in one or more of the following cloud environment tools: GCP
Elaborate informative, expressive, and meaningful reports that support business decision-making processes through the information provided.
Reporting and subsequently translating the emanating results into good technical and consistent data designs.

Qualifications

Technical Skills:

2+ years of experience with Scala Spark

Experience with cloud environment tools

Additional Information

Here at Applaudo Studios values as trust, communication, respect, excellence and team work are our keys to success. We know we are working with the best and thus treat each other with respect and admiration without asking.

Submit your application today, and don't miss this opportunity to join the Best Digital team in the Region!

We truly appreciate all the hard and outstanding work our team makes every day at Applaudo Studios, and that's why the perks that we offer, are deeply thought and designed as a way to thank them for their commitment and excellence.

Some of our perks and benefits:

Work from home
Flexible schedule
Celebrations
Special discounts
Entertainment area
Flexible work spaces
Great work environment
Private medical insurance
Benefits may vary according to your location and/or availability. Request further information when applying.",Remote,368,"['Scala Spark', ' C/C++', 'Scala', 'Apache Spark', 'Spark', 'PostgreSQL', ' PL/SQL', 'Excel', 'R', 'MySQL', 'Agile', 'Google Cloud', 'Java', 'SQL']","['Data visualization', 'Cloud computing', 'Data interpretation', 'communication', 'Agile development', 'Decision trees', 'Time series analysis', 'Python programming', 'A/B testing', 'Business intelligence', 'Data engineering', 'Exploratory data analysis', 'ETL', 'analysis', 'Regression analysis', 'Support vector machines', 'storage', 'Continuous integration and deployment (CI/CD)', 'modeling', 'decision trees']",Not Specified,0,Not Specified,Not Specified
